7	3
5	11
3	13
	
3	18
4	15
6	17
6	11
2	13
6	2
2	2
7	7
6	15
	
4	17
2	14
4	2
5	12
	
	
3	17
	
7	12
4	9
4	6
6	1
4	11
7	5
7	10
	
	
	
	
2	17
4	8
7	14
	
7	1
4	13
	
4	14
1	1
1	18
6	4
6	12
	
7	8
5	17
5	13
6	9
4	1
4	18
6	3
2	1
	
	
7	16
7	15
	
3	2
4	7
5	6
7	9
2	15
3	1
5	5
	
2	18
7	13
4	10
	
	
2	16
7	18
6	8
3	15
	
6	14
5	10
	
6	16
	
6	10
	
7	2
5	1
6	7
7	4
7	11
5	9
6	18
5	8
3	16
5	15
4	3
4	16
7	6
3	14
	
5	14
5	2
6	5
	
5	7
5	16
	
4	4
6	13
	
7	17
	
4	5
6	6
5	18
5	3
	
4	12
5	4
